pays,id,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total
Mali,466,,1,6,6,26,18,16,17,22,18,11,9,49,22,22,11,9,263
Algérie,12,,,8,8,8,5,16,15,17,8,10,16,8,3,3,6,9,140
Sénégal,686,,,,,2,2,4,6,5,8,7,5,8,4,26,31,29,137
Madagascar,450,,1,1,6,5,4,5,7,7,4,3,7,9,12,19,14,18,122
Cameroun,120,,2,2,1,2,,4,5,5,7,12,4,15,9,11,9,17,105
Maroc,504,,,1,3,6,7,8,5,14,8,8,5,3,5,5,6,5,89
Congo,178,,,,,1,,,6,8,2,4,11,12,10,15,4,5,78
Burkina Faso,854,,,1,1,1,,1,,6,8,5,5,4,3,7,16,1,59
RDC,180,,,,1,1,,3,7,9,2,1,1,4,1,5,14,15,64
Côte d'Ivoire,384,,,,2,2,4,1,3,1,2,1,9,6,3,4,1,10,49
Angola,24,,,,,,,,18,11,7,5,6,1,,,,,48
Niger,562,,,,,,1,2,2,3,6,3,3,3,,2,10,5,40
Burundi,108,,,,1,1,4,1,,2,3,1,1,,1,6,4,14,39
Egypte,818,,1,5,1,,,4,5,3,3,5,2,,1,,,1,31
Guinée,324,,,,1,1,,,,,1,2,1,4,5,6,2,5,28
Benin,204,,,,,,,,1,,,,,1,2,2,4,14,24
Gabon,266,,,,,,1,,5,,2,1,1,2,1,1,6,4,24
Mauritanie,478,,,2,1,2,3,3,4,1,,1,,,1,,,,18
Djibouti,262,,,,,,,1,,,,,,,,4,5,2,12
Comores,174,,,,1,,,,,,,,,,1,,2,3,7
Togo,768,,,,,,,,,,,2,,,,,,4,6
Tchad,148,,,,1,,,,1,1,,,,,1,,,1,5
Centre Afrique,140,,,,,,,,,1,,1,1,,1,,,,4
Rwanda,646,,,,,,,,1,1,,1,,,,,,,3
Yemen,887,,,,,,,1,,,,,,1,,,1,,3
Cap Vert,132,,,,,,,,,,,,2,,,,,,2
Gambie,270,,,,,,,,,,,,,1,1,,,,2
Nigeria,566,,,,,,,,,,,,,,,,,2,2
Ethiopie,231,,,,,,,,,1,,,,,,,,,1
Sierra Léone,694,,,,,,,,,,1,,,,,,,,1
Soudan,729,,,,,,,,,,,,,,,,1,,1
Zimbabwe,716,,,,,,,,,,,1,,,,,,,1
Laos,418,,,,5,9,15,13,15,25,15,11,15,11,6,9,3,8,160
Vietnam,704,,,,2,6,11,5,,3,,4,4,,1,1,,,37
Cambodge,116,,,,,,1,,,,,,,1,2,7,,,11
Mongolie,496,,,,,,,,,,,2,3,1,,,,,6
Chine,156,,,,,1,,1,,1,,,,,,,,,3
Kirghistan,417,,,,,,,1,,1,,1,,,,,,,3
Tonga,776,,,,,,,,2,,,,,,,,,,2
Vanuatu,548,,,,,,,,,,,2,,,,,,,2
Inde,356,,1,,,,,,,,,,,,,,,,1
Russie,643,,1,,,,,,,,,,,,,,,,1
Samoa,882,,,,,,,1,,,,,,,,,,,1
Ouzbekistan,860,,,,,,,,,,,,,1,,,,,1
Arménie,51,,,,,,,,,,,,,,,1,,,1
Tadjikistan,762,,,,,,,,,,,,,,,,,1,1
Syrie,760,,5,7,7,8,11,6,16,20,13,1,10,1,9,12,15,10,151
Irak,368,,,,,,,,3,,1,,2,9,13,6,10,1,45
Pakistan,586,,,,,,2,,,,,,,,,,,,2
Afghanistan,4,,,,,,,,,1,1,,,,,,,,2
Liban,422,,,,,1,,,,,,,,,,,,,1
Moldavie,498,10,25,14,9,8,15,18,10,,1,1,,1,1,,,,113
Ukraine,804,,7,4,,,1,,,,,,,,,,,,12
Roumanie,642,1,,1,,,1,,,,,,,,,,,,3
Kosovo,-99,,,,,,1,,,,1,,,,,,,,2
Bosnie,70,,,,,,,,,,,1,,,,,,,1
Haïti,332,,,,,2,,,1,1,,,,2,,,,2,8
Rép. Dominicaine,214,,,,,,,,,,,,,3,1,,1,,5
Cuba,192,,,1,,,,,,,,,,,,,,,1
Sainte-Lucie,662,,,,,,,,,,,,,,1,,,,1
Grand Total,T,11,44,53,57,93,107,115,155,170,122,108,123,161,121,174,176,195,1985
